orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,store_id,create_timestamp,update_timestamp
10180,S10_1678,29,76.56,9,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S10_1949,47,201.44,6,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S10_2016,42,99.91,12,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S10_4757,24,131.92,12,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10216,S12_1666,43,133.94,1,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S12_1666,39,117.54,3,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S12_2823,40,131.04,8,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10224,S12_2823,43,141.58,6,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10405,S12_4675,97,115.16,5,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10136,S18_1129,25,117.48,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_1342,37,95.55,13,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_1367,37,46.90,12,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S18_1589,21,119.46,11,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S18_1662,42,127.73,4,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S18_1749,41,153.00,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10405,S18_1889,61,72.38,4,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10136,S18_1984,36,120.91,1,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S18_2248,33,55.70,1,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_2325,24,102.98,17,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S18_2625,25,48.46,13,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10255,S18_2795,24,135.00,1,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_2795,20,141.75,14,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_2949,46,98.27,7,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_2957,24,54.34,9,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S18_3029,41,70.54,10,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_3136,26,90.06,8,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10136,S18_3232,41,169.34,3,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10405,S18_3232,55,147.33,1,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_3320,38,95.24,11,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S18_3782,21,59.06,3,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10224,S18_3782,38,57.20,1,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S18_3856,48,104.81,9,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S18_4409,42,77.31,3,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S18_4668,34,44.27,4,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S18_4721,44,147.31,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S18_4933,30,62.72,4,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S24_1046,22,72.02,8,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S24_1578,48,98.05,10,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S24_1628,21,47.29,10,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S24_2000,28,61.70,14,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10255,S24_2022,37,37.63,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S24_2022,44,42.11,15,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S24_2360,35,60.95,6,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10224,S24_2360,37,60.26,4,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S24_2766,47,89.05,6,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S24_2841,34,67.82,5,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S24_2887,28,117.44,5,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10405,S24_2972,47,37.38,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S24_3191,26,69.34,7,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S24_3420,27,65.75,6,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,S24_3432,27,107.08,9,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S24_3816,21,68.77,11,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10405,S24_3856,76,127.79,3,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S24_3949,30,64.15,3,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S24_4258,33,80.83,10,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S32_2206,34,33.39,4,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10224,S32_2206,43,37.01,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S32_3522,36,52.36,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S32_4485,22,102.05,7,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10224,S32_4485,30,94.91,5,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,S50_4713,21,74.85,5,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10224,S50_4713,50,81.36,3,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10397,S700_1938,32,69.29,5,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S700_2047,34,86.90,8,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S700_2466,22,91.74,1,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10397,S700_2610,22,62.88,4,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,S700_2824,40,80.92,1,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10397,S700_3962,36,80.44,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,S700_4002,45,68.11,2,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
