checkNumber,paymentDate,amount,customerNumber,store_id,create_timestamp,update_timestamp
AE215433,2005-03-05,101244.59,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
AH612904,2003-09-28,29997.09,487,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
AP286625,2004-10-24,23333.06,339,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
BF686658,2003-12-22,58793.53,151,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
BG255406,2004-08-28,85410.87,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
BH167026,2003-12-26,59265.14,495,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
BR352384,2004-11-14,2434.25,161,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
BR478494,2003-11-18,50743.65,161,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
CA762595,2005-02-12,28322.83,379,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
CM564612,2004-04-25,22602.36,181,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
CQ287967,2003-04-11,11044.30,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
DA98827,2003-11-28,34606.28,339,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
DJ15149,2003-11-03,85559.12,321,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
DM826140,2004-12-08,26248.78,129,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
DR578578,2004-10-28,47411.33,286,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
ED203908,2005-04-15,30293.77,462,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
ET64396,2005-04-16,83598.04,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
FI192930,2004-12-06,9658.74,198,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
FN155234,2004-05-14,6276.60,495,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
FP170292,2004-07-11,18473.71,362,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
FR499138,2003-09-16,32680.31,379,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
GB852215,2004-07-26,20314.44,151,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
GB890854,2004-08-02,12530.51,379,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
GC60330,2003-11-08,9977.85,462,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
GC697638,2004-08-13,51152.86,204,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
GJ597719,2005-01-18,8307.28,320,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
GJ715659,2004-11-13,27550.51,456,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
GP545698,2004-05-13,11843.45,173,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
GQ132144,2003-01-30,5494.78,181,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
HA777606,2003-12-05,38139.18,455,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
HI366474,2004-12-27,47142.70,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
HI618861,2004-11-19,35152.12,157,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
HL575273,2004-11-17,50799.69,363,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
HO576374,2003-08-20,41016.75,320,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
HQ920205,2003-07-06,6036.96,198,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
HR86578,2004-11-02,55639.66,124,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
ID449593,2003-12-11,23923.93,129,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
IG462397,2004-03-29,20355.24,173,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
IP568906,2003-06-18,58841.35,151,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
IR662429,2004-05-12,32239.47,455,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
IS150005,2004-09-24,4424.40,204,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
IS232033,2003-01-16,10223.83,363,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
