productCode,productName,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP,productLine,store_id,create_timestamp,update_timestamp
S24_2840,1958 Chevy Corvette Limited Edition,1:24,Carousel DieCast Legends,The operating parts of this 1958 Chevy Corvette Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels  working streering  opening doors and trunk. Color dark green.,2542,15.91,35.36,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_1889,1948 Porsche 356-A Roadster,1:18,Gearbox Collectibles,This precision die-cast replica features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,8826,53.90,77.00,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S12_3380,1968 Dodge Charger,1:12,Welly Diecast Productions,1:12 scale model of a 1968 Dodge Charger. Hood  doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black,9123,75.16,117.44,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S50_1392,Diamond T620 Semi-Skirted Tanker,1:50,Highway 66 Mini Classics,This limited edition model is licensed and perfectly scaled for Lionel Trains. The Diamond T620 has been produced in solid precision diecast and painted with a fire baked enamel finish. It comes with a removable tanker and is a perfect model to add authenticity to your static train or car layout or to just have on display.,1016,68.29,115.75,Trucks and Buses,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_1367,1936 Mercedes-Benz 500K Special Roadster,1:18,Studio M Art Models,This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat  independent spring suspension  detailed interior  working steering system  and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.,8635,24.26,53.91,Vintage Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_3233,1985 Toyota Supra,1:18,Highway 66 Mini Classics,This model features soft rubber tires  working steering  rubber mud guards  authentic Ford logos  detailed undercarriage  opening doors and hood  removable split rear gate  full size spare mounted in bed  detailed interior with opening glove box,7733,57.01,107.57,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_2870,1999 Indy 500 Monte Carlo SS,1:18,Red Start Diecast,Features include opening and closing doors. Color: Red,8164,56.76,132.00,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S700_1691,American Airlines: B767-300,1:700,Min Lin Diecast,Exact replia with official logos and insignias and retractable wheels,5841,51.15,91.34,Planes,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S32_3207,1950's Chicago Surface Lines Streetcar,1:32,Gearbox Collectibles,This streetcar is a joy to see. It has 80 separate windows  electric wire guides  detailed interiors with seats  poles and drivers controls  rolling and turning wheel assemblies  plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).,8601,26.72,62.14,Trains,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S32_1374,1997 BMW F650 ST,1:32,Exoto Designs,Features official die-struck logos and baked enamel finish. Comes with stand.,178,66.92,99.89,Motorcycles,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S12_3148,1969 Corvair Monza,1:18,Welly Diecast Productions,1:18 scale die-cast about 10 inches long doors open  hood opens  trunk opens and wheels roll,6906,89.14,151.08,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_1342,1937 Lincoln Berline,1:18,Motor City Art Classics,Features opening engine cover  doors  trunk  and fuel filler cap. Color black,8693,60.62,102.74,Vintage Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S700_2466,America West Airlines B757-200,1:700,Motor City Art Classics,Official logos and insignias. Working steering system. Rotating jet engines,9653,68.80,99.72,Planes,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_4721,1957 Corvette Convertible,1:18,Classic Metal Creations,1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.,1249,69.93,148.80,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_3782,1957 Vespa GS150,1:18,Studio M Art Models,Features rotating wheels  working kick stand. Comes with stand.,7689,32.95,62.17,Motorcycles,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S10_2016,1996 Moto Guzzi 1100i,1:10,Highway 66 Mini Classics,Official Moto Guzzi logos and insignias  saddle bags located on side of motorcycle  detailed engine  working steering  working suspension  two leather seats  luggage rack  dual exhaust pipes  small saddle bag located on handle bars  two-tone paint with chrome accents  superior die-cast detail   rotating wheels   working kick stand  diecast metal with plastic parts and baked enamel finish.,6625,68.99,118.94,Motorcycles,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S24_2972,1982 Lamborghini Diablo,1:24,Second Gear Diecast,This replica features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,7723,16.24,37.76,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S50_1514,1962 City of Detroit Streetcar,1:50,Classic Metal Creations,This streetcar is a joy to see. It has 99 separate windows  electric wire guides  detailed interiors with seats  poles and drivers controls  rolling and turning wheel assemblies  plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).,1645,37.49,58.58,Trains,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S24_1628,1966 Shelby Cobra 427 S/C,1:24,Carousel DieCast Legends,This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it's own display case.,8197,29.18,50.31,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_1984,1995 Honda Civic,1:18,Min Lin Diecast,This model features  opening hood  opening doors  detailed engine  rear spoiler  opening trunk  working steering  tinted windows  baked enamel finish. Color yellow.,9772,93.89,142.25,Classic Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,1:18,Exoto Designs,Features opening hood  opening doors  opening trunk  wide white wall tires  front door arm rests  working steering system  leather upholstery. Color black.,2378,64.58,105.87,Vintage Cars,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S18_3259,Collectable Wooden Train,1:18,Carousel DieCast Legends,Hand crafted wooden toy train set is in about 1:18 scale  25 inches in total length including 2 additional carts  of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.,6450,67.56,100.84,Trains,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
S32_2206,1982 Ducati 996 R,1:32,Gearbox Collectibles,Features rotating wheels   working kick stand. Comes with stand.,9241,24.14,40.23,Motorcycles,NULL,2021-10-10 10:47:42,2021-10-10 10:47:42
