orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,store_id,create_timestamp,update_timestamp
10134,S10_1678,41,90.92,2,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10188,S10_1678,48,95.70,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10211,S10_1678,41,90.92,14,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10112,S10_1949,29,197.16,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10126,S10_1949,38,205.73,11,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10150,S10_1949,45,182.16,8,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10194,S10_1949,42,203.59,11,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10134,S10_2016,27,116.56,5,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10188,S10_2016,38,111.80,4,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10210,S10_2016,23,112.99,2,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10122,S12_1099,42,155.66,10,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10181,S12_1099,27,155.66,14,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10191,S12_1099,21,155.66,3,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10203,S12_1099,20,161.49,8,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10211,S12_1099,41,171.22,2,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10238,S12_1099,28,161.49,3,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10134,S12_2823,20,131.04,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10211,S12_2823,36,126.52,13,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10104,S12_3148,34,131.44,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10117,S12_3148,43,148.06,10,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10153,S12_3148,42,128.42,12,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10165,S12_3148,34,123.89,4,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10208,S12_3148,26,128.42,14,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10230,S12_3148,43,128.42,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10122,S12_3380,37,113.92,8,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10181,S12_3380,28,113.92,12,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10191,S12_3380,40,104.52,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10203,S12_3380,20,111.57,6,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10212,S12_3380,39,99.82,16,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10238,S12_3380,29,104.52,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
