orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,store_id,create_timestamp,update_timestamp
10101,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10112,2003-03-24,2003-04-03,2003-03-29,Shipped,Customer requested that ad materials (such as posters  pamphlets) be included in the shipment,144,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10117,2003-04-16,2003-04-24,2003-04-17,Shipped,NULL,148,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10119,2003-04-28,2003-05-05,2003-05-02,Shipped,NULL,382,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10122,2003-05-08,2003-05-16,2003-05-13,Shipped,NULL,350,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10126,2003-05-28,2003-06-07,2003-06-02,Shipped,NULL,458,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10128,2003-06-06,2003-06-12,2003-06-11,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10132,2003-06-25,2003-07-01,2003-06-28,Shipped,NULL,323,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10133,2003-06-27,2003-07-04,2003-07-03,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10134,2003-07-01,2003-07-10,2003-07-05,Shipped,NULL,250,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10136,2003-07-04,2003-07-14,2003-07-06,Shipped,Customer is interested in buying more Ferrari models,242,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10150,2003-09-19,2003-09-27,2003-09-21,Shipped,They want to reevaluate their terms agreement with Finance.,148,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10151,2003-09-21,2003-09-30,2003-09-24,Shipped,NULL,311,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10153,2003-09-28,2003-10-05,2003-10-03,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10156,2003-10-08,2003-10-17,2003-10-11,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10157,2003-10-09,2003-10-15,2003-10-14,Shipped,NULL,473,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10161,2003-10-17,2003-10-25,2003-10-20,Shipped,NULL,227,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10165,2003-10-22,2003-10-31,2003-12-26,Shipped,This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received,148,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10178,2003-11-08,2003-11-16,2003-11-10,Shipped,Custom shipping instructions sent to warehouse,242,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10181,2003-11-12,2003-11-19,2003-11-15,Shipped,NULL,167,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10184,2003-11-14,2003-11-22,2003-11-20,Shipped,NULL,484,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10188,2003-11-18,2003-11-26,2003-11-24,Shipped,NULL,167,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10190,2003-11-19,2003-11-29,2003-11-20,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10191,2003-11-20,2003-11-30,2003-11-24,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,259,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10194,2003-11-25,2003-12-02,2003-11-26,Shipped,NULL,146,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10202,2003-12-02,2003-12-09,2003-12-06,Shipped,NULL,357,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10203,2003-12-02,2003-12-11,2003-12-07,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10205,2003-12-03,2003-12-09,2003-12-07,Shipped, I need all the information I can get on our competitors.,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10208,2004-01-02,2004-01-11,2004-01-04,Shipped,NULL,146,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10210,2004-01-12,2004-01-22,2004-01-20,Shipped,NULL,177,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10211,2004-01-15,2004-01-25,2004-01-18,Shipped,NULL,406,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10212,2004-01-16,2004-01-24,2004-01-18,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10214,2004-01-26,2004-02-04,2004-01-29,Shipped,NULL,458,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10218,2004-02-09,2004-02-16,2004-02-11,Shipped,Customer requested that ad materials (such as posters  pamphlets) be included in the shipment,473,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10221,2004-02-18,2004-02-26,2004-02-19,Shipped,NULL,314,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10227,2004-03-02,2004-03-12,2004-03-08,Shipped,NULL,146,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10230,2004-03-15,2004-03-24,2004-03-20,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,128,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10234,2004-03-30,2004-04-05,2004-04-02,Shipped,NULL,412,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10238,2004-04-09,2004-04-16,2004-04-10,Shipped,NULL,145,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10239,2004-04-12,2004-04-21,2004-04-17,Shipped,NULL,311,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10240,2004-04-13,2004-04-20,2004-04-20,Shipped,NULL,177,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10241,2004-04-13,2004-04-20,2004-04-19,Shipped,NULL,209,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10244,2004-04-29,2004-05-09,2004-05-04,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10246,2004-05-05,2004-05-13,2004-05-06,Shipped,NULL,141,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10252,2004-05-26,2004-06-04,2004-05-29,Shipped,NULL,406,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10253,2004-06-01,2004-06-09,2004-06-02,Cancelled,Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward  since they are very hard to please. We must cover the shipping fees.,201,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
10254,2004-06-03,2004-06-13,2004-06-04,Shipped,Customer requested that DHL is used for this shipping,323,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
