checkNumber,paymentDate,amount,customerNumber,store_id,create_timestamp,update_timestamp
AD304085,2003-10-24,36798.88,299,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
AF40894,2003-11-22,33818.34,242,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
AG240323,2003-12-16,20220.04,357,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
AL493079,2005-05-23,75020.13,323,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
AU364101,2003-07-19,36251.03,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
AU750837,2004-04-17,15183.63,177,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
BI507030,2003-04-22,44380.15,148,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
BJMPR4545,2005-04-23,12190.85,406,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
BOAF82044,2005-05-03,35157.75,209,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
BQ602907,2004-12-11,18888.31,350,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
CC871084,2003-05-12,35826.33,382,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
CI381435,2004-01-19,47177.59,177,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
CI471510,2003-05-25,50824.66,350,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
CN328545,2004-07-03,4710.73,145,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
CT821147,2004-08-01,6419.84,382,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
DB583216,2004-11-01,36140.38,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
DD635282,2004-08-11,2611.84,148,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
DD995006,2004-11-15,33145.56,458,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
DG336041,2005-02-15,46770.52,311,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
DI925118,2003-01-28,10549.01,128,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
DL460618,2005-05-19,46895.48,141,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
DP677013,2003-10-20,23908.24,201,NULL,2021-10-08 15:00:02,2021-10-08 15:00:02
