productCode,productName,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP,productLine,store_id,create_timestamp,update_timestamp
S24_2840,1958 Chevy Corvette Limited Edition,1:24,Carousel DieCast Legends,The operating parts of this 1958 Chevy Corvette Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels  working streering  opening doors and trunk. Color dark green.,2542,15.91,35.36,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_1589,1965 Aston Martin DB5,1:18,Classic Metal Creations,Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale  this model measures approximately 10 inches/20 cm long.,9042,65.96,124.44,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_2432,1926 Ford Fire Engine,1:18,Carousel DieCast Legends,Gleaming red handsome appearance. Everything is here the fire hoses  ladder  axes  bells  lanterns  ready to fight any inferno.,2018,24.92,60.77,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S700_3962,The Queen Mary,1:700,Welly Diecast Productions,Exact replica. Wood and Metal. Many extras including rigging  long boats  pilot house  anchors  etc. Comes with three masts  all square-rigged.,5088,53.63,99.31,Ships,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S700_2047,HMS Bounty,1:700,Unimax Art Galleries,Measures 30 inches Long x 27 1/2 inches High x 4 3/4 inches Wide. \nMany extras including rigging  long boats  pilot house  anchors  etc. Comes with three masts  all square-rigged.,3501,39.83,90.52,Ships,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,1:18,Exoto Designs,Features opening hood  opening doors  opening trunk  wide white wall tires  front door arm rests  working steering system  leather upholstery. Color black.,2378,64.58,105.87,Vintage Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_4668,1939 Cadillac Limousine,1:18,Studio M Art Models,Features completely detailed interior including Velvet flocked drapes deluxe wood grain floor  and a wood grain casket with seperate chrome handles,6645,23.14,50.31,Vintage Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_2360,1982 Ducati 900 Monster,1:24,Highway 66 Mini Classics,Features two-tone paint with chrome accents  superior die-cast detail   rotating wheels   working kick stand,6840,47.10,69.26,Motorcycles,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S18_2319,1964 Mercedes Tour Bus,1:18,Unimax Art Galleries,Exact replica. 100+ parts. working steering system  original logos,8258,74.86,122.73,Trucks and Buses,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
S24_3191,1969 Chevrolet Camaro Z28,1:24,Exoto Designs,1969 Z/28 Chevy Camaro 1:24 scale replica. The operating parts of this limited edition 1:24 scale diecast model car 1969 Chevy Camaro Z28- hood  trunk  wheels  streering  suspension and doors- are particularly delicate due to their precise scale and require special care and attention.,4695,50.51,85.61,Classic Cars,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
