productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP,store_id,create_timestamp,update_timestamp
S10_4962,1962 LanciaA Delta 16V,1:10,Second Gea,Features include: Turnable front wheels; steering ,6791,103,147.74,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3685,1948 Porsche Type 356 Roadster,1:18,Gearbox Co,This model features working front and rear suspens, rear stabilizer flap,0,8990.00,62.16,141,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3136,18th Century Vintage Horse Carriage,1:18,Red Start ,Hand crafted diecast-like metal horse carriage is , and features turning steering wheel and is entirely hand-finished.,5992,60.74,104.72,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_1937,1939 Chevrolet Deluxe Coupe,1:24,Motor City,This 1:24 scale die-cast replica of the 1939 Chevr, hood and doors and a showroom quality baked enamel finish.,7332,22.57,33.19,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S10_4698,2003 Harley-Davidson Eagle Drag Bike,1:10,Red Start ,Model features, official Harley Davidson logos and insignias,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_4522,1904 Buick Runabout,1:18,Exoto Desi,Features opening trunk,  working steering system,8290,52.66,87.77,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_2022,1938 Cadillac V-16 Presidential Limousine,1:24,Classic Me,This 1:24 scale precision die cast replica of the , from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish,0,0.00,2847.00,21,2021-10-08 09:54:55,2021-10-08 09:54:55
S700_3505,The Titanic,1:700,Carousel D,Completed model measures 19 1/2 inches long, 9 inches high,3,1956.00,51.09,100,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_4027,1970 Triumph Spitfire,1:18,Min Lin Di,Features include opening and closing doors. Color:,5545,92,143.62,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_4278,1900s Vintage Tri-Plane,1:24,Unimax Art,Hand crafted diecast-like metal Triplane is Re-cre,2756,36,72.45,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_1666,1958 Setra Bus,1:12,Welly Diec,Model features 30 windows, skylights & glare resistant glass,0,0.00,1579.00,78,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_2823,2002 Suzuki XREO,1:12,Unimax Art,Official logos and insignias, saddle bags located on side of motorcycle,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_1785,1928 British Royal Navy Airplane,1:24,Classic Me,Official logos and insignias,3627,67,109.42,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_1889,1948 Porsche 356-A Roadster,1:18,Gearbox Co,This precision die-cast replica features opening d, superb detail and craftsmanship,0,0.00,0.00,4,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,1:18,Exoto Desi,Features opening hood, opening doors,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3259,Collectable Wooden Train,1:18,Carousel D,Hand crafted wooden toy train set is in about 1:18, 25 inches in total length including 2 additional carts,0,6450.00,67.56,101,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_2432,1926 Ford Fire Engine,1:18,Carousel D,Gleaming red handsome appearance. Everything is he, ladder,0,0.00,0.00,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_1749,1917 Grand Touring Sedan,1:18,Welly Diec,This 1:18 scale replica of the 1917 Grand Touring , detailed engine and instrument panel,0,0.00,0.00,2724,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_1589,1965 Aston Martin DB5,1:18,Classic Me,Die-cast model of the silver 1965 Aston Martin DB5, this model measures approximately 10 inches/20 cm long.,9042,65.96,124.44,0,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_3278,1969 Dodge Super Bee,1:18,Min Lin Di,This replica features opening doors, superb detail and craftsmanship,0,0.00,0.00,4,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_1578,1997 BMW R 1100 S,1:24,Autoart St,Detailed scale replica with working suspension and,7003,61,112.70,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S12_3990,1970 Plymouth Hemi Cuda,1:12,Studio M A,Very detailed 1970 Plymouth Cuda model in 1:12 sca,5663,32,79.80,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S32_4485,1974 Ducati 350 Mk3 Desmo,1:32,Second Gea,This model features two-tone paint with chrome acc, superior die-cast detail ,0,0.00,3341.00,56,2021-10-08 09:54:55,2021-10-08 09:54:55
S18_4668,1939 Cadillac Limousine,1:18,Studio M A,Features completely detailed interior including Ve,deluxe wood grain floor,0,6645.00,23.14,50,2021-10-08 09:54:55,2021-10-08 09:54:55
S24_3949,Corsair F4U ( Bird Cage),1:24,Second Gea,Has retractable wheels and comes with a stand. Off,6812,29,68.24,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
S10_4757,1972 Alfa Romeo GTA,1:10,Motor City,Features include: Turnable front wheels; steering ,3252,86,136.00,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
